tripid,additional_fare,duration,meter_waiting,meter_waiting_fare,meter_waiting_till_pickup,pickup_time,drop_time,pick_lat,pick_lon,drop_lat,drop_lon,fare,label
189123628,10.5,834,56,0,64,11/1/2019 0:20,11/1/2019 0:34,6.86252,79.8993,6.9033,79.8783,270.32,correct
189125358,10.5,791,47,0,134,11/1/2019 0:56,11/1/2019 1:09,6.88589,79.8984,6.91373,79.8923,197.85,correct
189125719,10.5,1087,80,0,61,11/1/2019 1:08,11/1/2019 1:26,6.90839,79.8651,6.93669,79.9146,301.64,correct
189127273,10.5,598,271,15.6638,68,11/1/2019 2:27,11/1/2019 2:37,6.9257,79.8895,6.92748,79.8971,82.3,correct
189128020,,,,,,11/1/2019 3:34,11/1/2019 3:51,6.87441,79.8615,6.84478,79.929,358.39,correct
189129552,10.5,3407,182,0,112,11/1/2019 5:38,11/1/2019 6:35,7.13402,79.8969,6.91865,79.8649,1065.02,correct
189132829,10.5,1246,487,0,133,11/1/2019 6:29,11/1/2019 6:49,6.84371,79.9051,6.85069,79.8624,266.62,correct
189135103,10.5,1333,295,17.1985,212,11/1/2019 6:50,11/1/2019 7:12,6.9076,79.9524,6.90634,79.9042,318.05,correct
189139296,10.5,360,80,4.664,3,11/1/2019 7:00,11/1/2019 7:06,7.26706,80.6064,7.27422,80.6124,100.32,correct
189138671,10.5,1539,588,33.9864,43,11/1/2019 7:02,11/1/2019 7:28,6.85137,79.9537,6.84779,79.9274,257.89,correct
189135814,10.5,26,19,0,73,11/1/2019 7:27,11/1/2019 7:27,7.00355,79.8819,7.13279,79.8868,694.37,incorrect
189140969,10.5,31,20,0,130,11/1/2019 7:42,11/1/2019 7:42,6.90871,79.8978,6.91368,79.8572,235.59,incorrect
189144528,10.5,2011,199,0,165,11/1/2019 7:44,11/1/2019 8:17,6.82278,79.9527,6.87241,79.8835,452.39,correct
189147041,10.5,1260,30,0,9,11/1/2019 7:44,11/1/2019 8:05,7.12626,79.9817,7.1229,79.9687,111.21,incorrect
189145904,10.5,335,10,0.583,17,11/1/2019 7:45,11/1/2019 7:51,6.85268,79.8631,6.8656,79.864,126.87,correct
189146174,10.5,4221,1608,84.2146,72,11/1/2019 7:48,11/1/2019 8:58,6.97132,79.9606,6.93615,79.847,672.87,correct
189150541,10.5,1472,219,12.69997624,413,11/1/2019 8:14,11/1/2019 8:38,7.11422,80.0033,7.10365,80.0485,305.22,correct
189153229,10.5,284,0,0,82,11/1/2019 8:17,11/1/2019 8:21,7.2986,80.6266,7.29507,80.6375,95.31,correct
189151585,10.5,2435,381,0,186,11/1/2019 8:23,11/1/2019 9:04,6.79589,79.8916,6.88183,79.8666,461.25,correct
189157464,10.5,891,170,0,57,11/1/2019 8:39,11/1/2019 8:54,6.80125,79.9007,6.82305,79.8952,226.54,correct
189157607,10.5,2956,1686,97.4508,29,11/1/2019 8:40,11/1/2019 9:21,6.92109,79.8547,6.9412,79.8588,,incorrect
189157476,10.5,3176,390,0,269,11/1/2019 8:41,11/1/2019 9:34,6.79325,79.9257,6.92526,79.852,692.75,correct
189157559,10.5,693,280,9.8838,318,11/1/2019 8:41,11/1/2019 8:51,6.91718,79.8656,6.9064,79.8793,109.36,correct
189159951,5,850,143,8.3369,0,11/1/2019 8:43,11/1/2019 8:58,6.7985,79.9269,6.79952,79.8884,235.25,correct
189158726,10.5,1443,59,0,173,11/1/2019 8:48,11/1/2019 9:13,6.91352,79.9748,6.90981,79.8954,421.11,correct
